plant_name,unit_name,plant_unit_name,owner,parent_company,capacity_mw,status,start_year,retired_year,region,country_area,subnational_unit,latitude,longitude,technology,fuel_type,announced_year,construction_start,operating_year,mothballed_year,cancelled_year,wiki_url
,,,Enel SpA [100%],Enel SpA [100.0%],800.0,cancelled,,,Europe,Albania,,41.371141,19.425201,,,,,,,,https://www.gem.wiki/Porto_Romano_Power_Station
,,,Yacimientos Carboníferos de Río Turbio SA [100%],Yacimientos Carboníferos de Río Turbio SA [100.0%],120.0,operating,,,Americas,Argentina,,51.546015,72.231256,,,,,,,,https://www.gem.wiki/R%C3%ADo_Turbio_power_station
,,,Yacimientos Carboníferos de Río Turbio SA [100%],Yacimientos Carboníferos de Río Turbio SA [100.0%],120.0,construction,,,Americas,Argentina,,51.546015,72.231256,,,,,,,,https://www.gem.wiki/R%C3%ADo_Turbio_power_station
,,,AES Argentina Generación SA [100%],AES Corp [100.0%],375.0,operating,,,Americas,Argentina,,33.35492,60.172917,,,,,,,,https://www.gem.wiki/San_Nicolás_power_station
,,,Alcoa of Australia [100%],Alcoa Corp,160.0,retired,,,Oceania,Australia,,38.38655,144.182062,,,,,,,,https://www.gem.wiki/Anglesea_power_station
,,,Altona Energy [100%],Altona Resources,560.0,cancelled,,,Oceania,Australia,,27.938926,134.726094,,,,,,,,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project
,,,Altona Energy [100%],Altona Resources,280.0,cancelled,,,Oceania,Australia,,27.938926,134.726094,,,,,,,,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project
,,,AGL Macquarie Pty Ltd [100%],AGL Energy Ltd [100.0%],2000.0,cancelled,,,Oceania,Australia,,32.395,150.9492,,,,,,,,https://www.gem.wiki/Bayswater_power_station
,,,AGL Macquarie Pty Ltd [100%],AGL Energy Ltd [100.0%],685.0,operating,,,Oceania,Australia,,32.3940422,150.9500828,,,,,,,,https://www.gem.wiki/Bayswater_power_station
,,,AGL Macquarie Pty Ltd [100%],AGL Energy Ltd [100.0%],660.0,operating,,,Oceania,Australia,,32.3940422,150.9500828,,,,,,,,https://www.gem.wiki/Bayswater_power_station
,,,Summit Southern Cross Power Holdings Pty Ltd [100%],Sumitomo Corp [100.0%],233.0,operating,,,Oceania,Australia,,33.332186,116.228023,,,,,,,,https://www.gem.wiki/Bluewaters_power_station
,,,Summit Southern Cross Power Holdings Pty Ltd [100%],Sumitomo Corp [100.0%],208.0,cancelled,,,Oceania,Australia,,33.332186,116.228023,,,,,,,,https://www.gem.wiki/Bluewaters_power_station
,,,CS Energy Ltd [100%],CS Energy Ltd [100.0%],30.0,retired,,,Oceania,Australia,,24.347222,150.617115,,,,,,,,https://www.gem.wiki/Callide_Oxyfuel_Project
,,,CS Energy Ltd [100%],CS Energy Ltd [100.0%],350.0,operating,,,Oceania,Australia,,24.347222,150.617115,,,,,,,,https://www.gem.wiki/Callide_power_station
,,,IG Power (Callide) Ltd [50%]; CS Energy Ltd [50%],CS Energy Ltd [50.0%]; China Huaneng Group Co Ltd [25.0%]; Creditas Group [25.0%],460.0,operating,,,Oceania,Australia,,24.347222,150.617115,,,,,,,,https://www.gem.wiki/Callide_power_station
,,,IG Power (Callide) Ltd [50%]; CS Energy Ltd [50%],CS Energy Ltd [50.0%]; China Huaneng Group Co Ltd [25.0%]; Creditas Group [25.0%],460.0,mothballed,,,Oceania,Australia,,24.347222,150.617115,,,,,,,,https://www.gem.wiki/Callide_power_station
,,,Verve Energy [100%],Electricity Retail and Generation Corp,350.0,operating,,,Oceania,Australia,,33.343094,116.260847,,,,,,,,https://www.gem.wiki/Collie_power_station
,,,Shine Energy Pty Ltd [100%],Black Cockatoo Holdings Pty Ltd [100.0%],315.0,pre-permit,,,Oceania,Australia,,20.545051,147.804557,,,,,,,,https://www.gem.wiki/Collinsville_(Shine_Energy)_power_station
,,,RATCH-Australia Corporation Pty Ltd [100%],RATCH Group PLC [100.0%],30.0,retired,,,Oceania,Australia,,20.545051,147.804557,,,,,,,,https://www.gem.wiki/Collinsville_power_station
,,,RATCH-Australia Corporation Pty Ltd [100%],RATCH Group PLC [100.0%],60.0,retired,,,Oceania,Australia,,20.545051,147.804557,,,,,,,,https://www.gem.wiki/Collinsville_power_station
,,,Coolimba Power [100%],Westgen Pty Ltd,150.0,cancelled,,,Oceania,Australia,,29.816667,115.266667,,,,,,,,https://www.gem.wiki/Coolimba_power_station
,,,Dual Gas [100%],HRL Holdings,300.0,cancelled,,,Oceania,Australia,,38.251967,146.41634,,,,,,,,https://www.gem.wiki/Dual_Gas_power_station
,,,Energy Brix Australia Ltd [100%],HRL Holdings,30.0,retired,,,Oceania,Australia,,38.25397,146.413666,,,,,,,,https://www.gem.wiki/Energy_Brix_power_station
,,,Energy Brix Australia Ltd [100%],HRL Holdings,60.0,retired,,,Oceania,Australia,,38.25397,146.413666,,,,,,,,https://www.gem.wiki/Energy_Brix_power_station
,,,Origin Energy Ltd [100%],Origin Energy Ltd [100.0%],720.0,operating,,,Oceania,Australia,,33.06223,151.521359,,,,,,,,https://www.gem.wiki/Eraring_power_station
,,,to be determined [100%],to be determined [100.0%],600.0,cancelled,,,Oceania,Australia,,21.149203,144.799206,,,,,,,,https://www.gem.wiki/Galilee_Basin_Power_Project
,,,Waratah Coal Pty Ltd [100%],Mineralogy Pty Ltd [100.0%],700.0,cancelled,,,Oceania,Australia,,23.473166,146.551237,,,,,,,,https://www.gem.wiki/Galilee_Power_project
,,,NRG Gladstone Operating Services Pty Ltd [100%],Rio Tinto Alcan Inc [42.1%]; NRG Energy Inc [37.5%]; SLMA GPS Pty Ltd [8.5%]; Ryowa II GPS Pty Ltd [7.1%],280.0,operating,,,Oceania,Australia,,23.850667,151.219711,,,,,,,,https://www.gem.wiki/Gladstone_power_station
,,,Sunset Power International Pty Ltd [100%],Engiana Establishment [100.0%],660.0,cancelled,,,Oceania,Australia,,38.271833,146.390879,,,,,,,,https://www.gem.wiki/Hazelwood_(Sunset_Power_International)_power_station
,,,GDF Suez Australian Energy Pty Ltd [100%],GDF Suez Australian Energy Pty Ltd [100.0%],200.0,retired,,,Oceania,Australia,,38.271833,146.390879,,,,,,,,https://www.gem.wiki/Hazelwood_power_station
,,,CS Energy Ltd [100%],CS Energy Ltd [100.0%],750.0,operating,,,Oceania,Australia,,26.917881,150.750738,,,,,,,,https://www.gem.wiki/Kogan_Creek_power_station
,,,China Energy Engineering Group Hunan Electric Power Design Institute Co Ltd; Cavcorp Pty Ltd,Cavcorp Pty Ltd; China Energy Engineering Group Hunan Electric Power Design Institute Co Ltd,1000.0,cancelled,,,Oceania,Australia,,32.829077,151.467635,,,,,,,,https://www.gem.wiki/Kurri_Kurri_power_station
,,,Verve Energy [100%],Electricity Retail and Generation Corp,120.0,retired,,,Oceania,Australia,,32.198337,115.775155,,,,,,,,https://www.gem.wiki/Kwinana_power_station
,,,Verve Energy [100%],Electricity Retail and Generation Corp,200.0,retired,,,Oceania,Australia,,32.198337,115.775155,,,,,,,,https://www.gem.wiki/Kwinana_power_station
,,,AGL Energy Ltd [100%],AGL Energy Ltd [100.0%],500.0,retired,,,Oceania,Australia,,32.3716,150.978421,,,,,,,,https://www.gem.wiki/Liddell_power_station
,,,Loy Yang Power Management Pty Ltd [100%],AGL Energy Ltd [100.0%],560.0,operating,,,Oceania,Australia,,38.252414,146.575334,,,,,,,,https://www.gem.wiki/Loy_Yang_A_power_station
,,,Loy Yang Power Management Pty Ltd [100%],AGL Energy Ltd [100.0%],535.0,operating,,,Oceania,Australia,,38.252414,146.575334,,,,,,,,https://www.gem.wiki/Loy_Yang_A_power_station
,,,Alinta Energy Pty Ltd [100%],Chow Tai Fook Enterprises Ltd [100.0%],513.0,operating,,,Oceania,Australia,,38.255503,146.586018,,,,,,,,https://www.gem.wiki/Loy_Yang_B_power_station
,,,Millmerran Power Management Pty Ltd [100%],China Huaneng Group Co Ltd,440.0,operating,,,Oceania,Australia,,27.960696,151.279301,,,,,,,,https://www.gem.wiki/Millmerran_power_station
,,,Moray Power [100%],RCR Tomlinson,150.0,cancelled,,,Oceania,Australia,,22.012451,146.383553,,,,,,,,https://www.gem.wiki/Moray_power_station
,,,EnergyAustralia Pty Ltd [100%],CLP Holdings Ltd [100.0%],730.0,operating,,,Oceania,Australia,,33.358087,150.032036,,,,,,,,https://www.gem.wiki/Mount_Piper_power_station
,,,EnergyAustralia Pty Ltd [100%],CLP Holdings Ltd [100.0%],660.0,operating,,,Oceania,Australia,,33.358087,150.032036,,,,,,,,https://www.gem.wiki/Mount_Piper_power_station
,,,EnergyAustralia Pty Ltd [100%],CLP Holdings Ltd [100.0%],750.0,cancelled,,,Oceania,Australia,,33.3586,150.0316,,,,,,,,https://www.gem.wiki/Mount_Piper_power_station
,,,Verve Energy [100%],Electricity Retail and Generation Corp,60.0,retired,,,Oceania,Australia,,33.445875,116.307528,,,,,,,,https://www.gem.wiki/Muja_power_station
,,,Verve Energy [100%],Electricity Retail and Generation Corp,200.0,retired,,,Oceania,Australia,,33.445875,116.307528,,,,,,,,https://www.gem.wiki/Muja_power_station
,,,Verve Energy [100%],Electricity Retail and Generation Corp,200.0,operating,,,Oceania,Australia,,33.445875,116.307528,,,,,,,,https://www.gem.wiki/Muja_power_station
,,,Verve Energy [100%],Electricity Retail and Generation Corp,227.0,operating,,,Oceania,Australia,,33.445875,116.307528,,,,,,,,https://www.gem.wiki/Muja_power_station
,,,Delta Electricity Pty Ltd [100%],Engiana Establishment [100.0%],300.0,retired,,,Oceania,Australia,,33.212081,151.542216,,,,,,,,https://www.gem.wiki/Munmorah_power_station
,,,Alinta Energy Pty Ltd [100%],Chow Tai Fook Enterprises Ltd [100.0%],260.0,retired,,,Oceania,Australia,,32.542518,137.78785,,,,,,,,https://www.gem.wiki/Northern_Augusta_power_station
,,,Alinta Energy Pty Ltd [100%],Chow Tai Fook Enterprises Ltd [100.0%],60.0,retired,,,Oceania,Australia,,32.538523,137.782198,,,,,,,,https://www.gem.wiki/Playford_power_station
,,,Redbank Energy Ltd [100%],Chow Tai Fook Enterprises Ltd,151.0,retired,,,Oceania,Australia,,32.580534,151.07147,,,,,,,,https://www.gem.wiki/Redbank_power_station
,,,Stanwell Corp Ltd [100%],Stanwell Corp Ltd [100.0%],365.0,operating,,,Oceania,Australia,,23.509114,150.317801,,,,,,,,https://www.gem.wiki/Stanwell_power_station
,,,Stanwell Corp Ltd [100%],Stanwell Corp Ltd [100.0%],66.0,retired,,,Oceania,Australia,,27.660536,152.812899,,,,,,,,https://www.gem.wiki/Swanbank-A_power_station
,,,Stanwell Corp Ltd [100%],Stanwell Corp Ltd [100.0%],125.0,retired,,,Oceania,Australia,,27.660536,152.812899,,,,,,,,https://www.gem.wiki/Swanbank-B_power_station
,,,Stanwell Corp Ltd [100%],Stanwell Corp Ltd [100.0%],445.0,operating,,,Oceania,Australia,,26.777293,151.914311,,,,,,,,https://www.gem.wiki/Tarong_North_power_station
,,,Stanwell Corp Ltd [100%],Stanwell Corp Ltd [100.0%],350.0,operating,,,Oceania,Australia,,26.783688,151.915274,,,,,,,,https://www.gem.wiki/Tarong_power_station
,,,Sunset Power International Pty Ltd [100%],Engiana Establishment [100.0%],660.0,cancelled,,,Oceania,Australia,,33.161012,151.545252,,,,,,,,https://www.gem.wiki/Vales_Point_A_power_station_(replacement)
,,,Sunset Power International Pty Ltd [100%],Engiana Establishment [100.0%],660.0,operating,,,Oceania,Australia,,33.161012,151.545252,,,,,,,,https://www.gem.wiki/Vales_Point_power_station
,,,EnergyAustralia Pty Ltd [100%],CLP Holdings Ltd [100.0%],500.0,retired,,,Oceania,Australia,,33.402337,150.083722,,,,,,,,https://www.gem.wiki/Wallerawang_power_station
,,,GE Power; Stanwell Corp Ltd,GE Power; Stanwell Corp Ltd,400.0,cancelled,,,Oceania,Australia,,26.133333,149.95,,,,,,,,https://www.gem.wiki/Wandoan_Power_Project
,,,South32 Worsley Alumina Pty Ltd [100%],South32 Ltd [100.0%],34.0,retired,,,Oceania,Australia,,33.23519,116.068694,,,,,,,,https://www.gem.wiki/Worsley_Refinery_power_station
,,,South32 Worsley Alumina Pty Ltd [100%],South32 Ltd [100.0%],34.0,operating,,,Oceania,Australia,,33.23519,116.068694,,,,,,,,https://www.gem.wiki/Worsley_Refinery_power_station
,,,South32 Worsley Alumina Pty Ltd [100%],South32 Ltd [100.0%],57.0,operating,,,Oceania,Australia,,33.23519,116.068694,,,,,,,,https://www.gem.wiki/Worsley_Refinery_power_station
,,,EnergyAustralia Pty Ltd [100%],CLP Holdings Ltd [100.0%],360.0,operating,,,Oceania,Australia,,38.177284,146.34421,,,,,,,,https://www.gem.wiki/Yallourn_W_power_station
,,,EnergyAustralia Pty Ltd [100%],CLP Holdings Ltd [100.0%],380.0,operating,,,Oceania,Australia,,38.177284,146.34421,,,,,,,,https://www.gem.wiki/Yallourn_W_power_station
,,,Stanwell Corp Ltd [100%],Stanwell Corp Ltd [100.0%],500.0,cancelled,,,Oceania,Australia,,23.509114,150.317801,,,,,,,,https://www.gem.wiki/ZeroGen
,,,Verbund Thermal Power GmbH & Co KG [100%],Verbund AG [100.0%],450.0,retired,,,Europe,Austria,,48.32611,15.923333,,,,,,,,https://www.gem.wiki/Duernrohr_power_station
,,,EVN AG [100%],EVN AG [100.0%],352.0,retired,,,Europe,Austria,,48.32611,15.923333,,,,,,,,https://www.gem.wiki/Duernrohr_power_station
,,,Energie AG Oberösterreich [100%],OÖ Landesholding GmbH [52.7%]; Raiffeisenlandesbank Oberösterreich AG [14.0%]; Linz AG [10.4%]; TIWAG-Tiroler Wasserkraft AG [8.3%]; Verbund AG [5.2%]; Oberbank AG [5.2%]; small shareholder(s) [4.3%],800.0,cancelled,,,Europe,Austria,,48.21309,14.475222,,,,,,,,https://www.gem.wiki/Enns_Power_Station
